;LATITUD;LONGITUD
1;41.400106;2.189579
2;41.406052;2.101802
3;41.428283;2.188796
4;41.374324;2.172866
5;41.399128;2.153461
6;41.376716;2.166695
7;41.40582;2.201091
8;41.395936;2.182444
9;41.379963;2.126022
10;41.385302;2.145524
11;41.427588;2.157778
12;41.430843;2.169388
13;41.461717;2.17782
14;41.447438;2.180266
15;41.439569;2.186683
16;41.38573;2.138018
17;41.371584;2.142066
18;41.395566;2.204316
19;41.381739;2.191818
20;41.397309;2.126566
21;41.405046;2.175758
22;41.379064;2.16132
23;41.387857;2.15442
24;41.378442;2.137893
25;41.398674;2.133782